gca_id	sample_id	taxon_id	taxon_name	total-length	ungapped-length	n50	spanned-gaps	unspanned-gaps	scaffold-count	count-contig	contig-n50	contig-L50	contig-n75	contig-n90	scaf-L50	scaf-n75	scaf-n90	replicon-count	count-non-chromosome-replicon	count-alt-loci-units	count-regions	count-patches	ENA-LAST-UPDATED
GCA_000002315.5	SAMN02981218	9031	Gallus gallus	1065348650	1055564190	20785086	878	68	524	1402	17655422	19	9688072	2759626	12	12763716	6153034	34	0	0	0	0	2018-12-05
GCA_000146605.3	SAMN02981253	9103	Meleagris gallopavo	1128339136	1093044709	3801642	62525	2520	233806	296331	26671	11556	11137	1126	82	826892	2279	33	1	0	0	0	2017-12-08
GCA_000151805.2	SAMN02981239	59729	Taeniopygia guttata	1232118738	1222847838	8236790	87384	326	37421	124805	38644	8015	10023	2988	37	2365395	8511	35	0	0	0	0	2014-01-17
GCA_000238935.1	SAMN02981360	13146	Melopsittacus undulatus	1117355426	1086602023	10614383	45651	0	25211	70862	55633	5478	24998	8720	28	3647686	907416	0	0	0	0	0	2013-12-03
GCA_000247815.2	SAMN02981387	59894	Ficedula albicollis	1118343587	1102325870	6542656	9007	408	21836	30843	410964	771	210094	82403	48	2461026	747680	34	1	0	0	0	2013-06-28
GCA_000277835.1	SAMN00839579	48883	Geospiza fortis	1065292181	1041286029	5255844	68589	0	27239	95828	30521	9807	15248	6592	54	2009134	655882	0	0	0	0	0	2016-03-03
GCA_000331425.1	SAMN02981490	181119	Pseudopodoces humilis	1042980823	1030013627	16337386	21646	0	5405	27051	165265	1794	83942	36811	16	5291879	1805605	0	0	0	0	0	2013-08-26
GCA_000332375.1	SAMN02981494	241585	Amazona vittata	1175404042	1128255752	19239	112417	0	182974	295391	6904	47690	3617	1857	16505	8373	2839	0	0	0	0	0	2013-07-03
GCA_000337935.2	SAMN02981415	8932	Columba livia	1108534737	1087765385	14233134	92120	0	15057	107177	26627	12120	13806	6405	17	4899519	1608914	0	0	0	0	0	2017-12-13
GCA_000337955.1	SAMN02981425	8954	Falco peregrinus	1171955363	1153386289	3935757	76060	0	7020	83080	28645	12168	15764	8203	90	1923668	938520	0	0	0	0	0	2013-04-18
GCA_000337975.1	SAMN02981426	345164	Falco cherrug	1174811715	1150993769	4154532	70035	0	5863	75898	31327	10949	16994	8800	84	2202528	987605	0	0	0	0	0	2013-08-26
GCA_000355885.1	SAMN00011637	8839	Anas platyrhynchos	1105035747	1069956150	1233631	148961	0	78487	227448	26114	11206	10736	3062	268	532024	195458	0	0	0	0	0	2013-06-11
GCA_000385455.1	SAMN02981528	44394	Zonotrichia albicollis	1052600561	1006303327	4866725	31643	0	6018	37661	112748	2385	43045	13579	52	1881141	543549	0	0	0	0	0	2013-08-26
GCA_000400545.1	SAMN02981465	176014	Ara macao	1035921044	1035921044	6366	0	0	282947	282947	6366	45216	3181	1561	45216	3181	1561	0	0	0	0	0	2016-11-30
GCA_000400695.1	SAMN03000706	176014	Ara macao	1204700227	997636166	15974	311439	0	192790	504229	4399	61494	2153	961	21024	6716	2553	1	1	0	0	0	2013-06-26
GCA_000511605.2	SAMD00009971	93934	Coturnix japonica	898141602	880352380	3851064	52344	0	9499	61843	32115	7399	15707	7378	68	1704759	621750	0	0	0	0	0	2017-01-12
GCA_000534875.1	SAMEA3138919	9135	Serinus canaria	1152083301	1127254831	17815079	54020	0	304399	358419	53884	5339	17922	1897	13	6596869	29402	0	0	0	0	0	2014-02-12
GCA_000586395.1	SAMN01814332	162951	Lyrurus tetrix tetrix	657025294	657025294	1029	0	0	971998	971998	1029	190159	476	286	190159	476	286	0	0	0	0	0	2014-03-08
GCA_000599465.2	SAMN02981558	9014	Colinus virginianus	1254146751	1134249133	2042136	110726	0	42369	153095	56067	5092	16426	2619	150	65386	11797	0	0	0	0	0	2017-07-13
GCA_000599485.1	SAMN02981558	9014	Colinus virginianus	1042054936	1041782176	6260	15910	0	374224	390134	6034	46282	2865	1160	44300	2967	1198	0	0	0	0	0	2014-03-20
GCA_000687185.1	SAMN02596466	188379	Egretta garzetta	1206484573	1157789170	3067157	88871	0	11790	100661	29019	11667	14867	6884	113	1524009	665857	0	0	0	0	0	2014-06-27
GCA_000687205.1	SAMN02339894	56313	Tyto alba	1120143088	1111297855	52818	109223	0	62122	171345	17226	18680	8439	3684	5943	25700	11234	0	0	0	0	0	2014-10-10
GCA_000687265.1	SAMN02339890	9218	Phoenicopterus ruber ruber	1132184511	1127809853	38071	61291	0	76189	137480	20262	16707	10547	4884	8592	19766	8945	0	0	0	0	0	2014-05-08
GCA_000687285.1	SAMN02339888	97097	Phaethon lepturus	1152958507	1147080466	47896	65286	0	66785	132071	22941	14707	11726	5315	6817	23548	10326	0	0	0	0	0	2014-10-31
GCA_000687375.1	SAMN02339887	36300	Pelecanus crispus	1160924693	1156708760	43364	57580	0	63982	121562	21679	16160	11642	5750	7852	22746	11018	0	0	0	0	0	2014-06-27
GCA_000690535.1	SAMN02318733	54380	Cariama cristata	1132245425	1127945763	55197	59230	0	53474	112704	24645	13705	13223	6290	5958	28413	13950	0	0	0	0	0	2014-10-10
GCA_000690715.1	SAMN02324230	57412	Colius striatus	1075931597	1072170539	46063	44462	0	70188	114650	25860	12120	13218	5937	6512	22996	10271	0	0	0	0	0	2014-10-30
GCA_000690775.1	SAMN02324546	54383	Eurypyga helias	1088019637	1083028646	47243	52471	0	62699	115170	24402	12843	12481	5743	6386	23589	11017	0	0	0	0	0	2014-10-29
GCA_000690835.1	SAMN02324803	30455	Fulmarus glacialis	1141395646	1135628672	47208	54825	0	57389	112214	25926	13102	13734	6520	7016	24671	12102	0	0	0	0	0	2014-09-23
GCA_000690875.1	SAMN02324832	37040	Gavia stellata	1129677294	1122809873	45532	64882	0	61830	126712	24321	13686	12638	5734	7094	23647	11461	0	0	0	0	0	2014-09-23
GCA_000691405.1	SAMN02333670	8969	Haliaeetus albicilla	1133549865	1128456298	57319	60579	0	50905	111484	25143	13446	13393	6359	5758	29373	14115	0	0	0	0	0	2014-10-09
GCA_000691785.1	SAMN02333687	188344	Leptosomus discolor	1136244952	1133136126	62640	56010	0	57160	113170	24735	13631	13087	6179	5157	31811	14996	0	0	0	0	0	2014-10-10
GCA_000691845.1	SAMN02338310	57421	Merops nubicus	1062961556	1058508606	48089	50632	0	53499	104131	24675	12573	12672	5934	6132	23864	11004	0	0	0	0	0	2014-06-27
GCA_000691975.1	SAMN02297499	85066	Corvus brachyrhynchos	1091312783	1051781861	6953989	79099	0	10547	89646	29093	10509	14715	6830	49	2867284	1168119	0	0	0	0	0	2014-06-27
GCA_000692015.2	SAMN02299332	328815	Manacus vitellinus	1145854002	1116010121	2558866	45400	0	92755	138155	43697	6945	18746	4065	124	1163660	158829	0	0	0	0	0	2014-08-14
GCA_000692075.1	SAMN02302474	30419	Opisthocomus hoazin	1203712246	1142165867	2937227	99371	0	10256	109627	28179	11760	14084	6064	122	1195292	478150	0	0	0	0	0	2014-10-10
GCA_000695195.1	SAMN02324157	187382	Chlamydotis macqueenii	1086566339	1082961347	45221	56130	0	59693	115823	21641	14968	11592	5653	6888	23537	11398	0	0	0	0	0	2014-11-06
GCA_000695765.1	SAMN02339298	54374	Mesitornis unicolor	1087290853	1083478027	47102	51602	0	67520	119122	22740	14204	11830	5509	6540	23323	10358	0	0	0	0	0	2014-10-29
GCA_000695815.1	SAMN02318032	57068	Acanthisitta chloris	1035876403	1031098396	64469	66437	0	53875	120312	20602	14656	10687	5060	4486	31480	13909	0	0	0	0	0	2014-06-27
GCA_000696035.1	SAMN02371870	216574	Aquila chrysaetos canadensis	1548476395	1171380234	1746960	130235	0	42881	173116	16346	21099	8651	4218	258	845590	354134	0	0	0	0	0	2014-10-09
GCA_000696875.1	SAMN02339299	176057	Nestor notabilis	1053559886	1049180626	61475	51381	0	42180	93561	26546	11852	14149	6959	4935	31676	15760	0	0	0	0	0	2014-10-27
GCA_000698965.1	SAMN02316164	441894	Struthio camelus australis	1225025301	1184772141	3593425	72649	0	6914	79563	34997	10064	18419	9016	101	1660255	574516	0	0	0	0	0	2014-10-08
GCA_000699005.1	SAMN02314405	118200	Picoides pubescens	1167323935	1123919997	2093929	96471	0	31254	127725	24809	12353	11470	4903	168	911203	310327	0	0	0	0	0	2014-10-09
GCA_000699085.1	SAMN02265252	9244	Calypte anna	1105676412	1067027607	4052191	70084	0	54736	124820	26738	11601	13056	5030	81	1720479	480475	0	0	0	0	0	2014-06-27
GCA_000699105.1	SAMN02596601	9238	Pygoscelis adeliae	1216600033	1162442438	5118896	95109	0	19264	114373	22195	15872	12155	6168	72	2213888	970345	0	0	0	0	0	2014-09-15
GCA_000699145.1	SAMN02596600	9233	Aptenodytes forsteri	1254347440	1182540656	5071598	72501	0	10672	83173	31730	11116	16948	8632	71	2436419	1143832	0	0	0	0	0	2014-09-15
GCA_000699245.1	SAMN02339892	240206	Pterocles gutturalis	1069324295	1065718737	49530	48553	0	58607	107160	26448	12048	13763	6336	6164	25789	12097	0	0	0	0	0	2014-10-29
GCA_000699545.1	SAMN02339891	345573	Podiceps cristatus	1134922578	1127833593	30087	69345	0	82923	152268	17412	19471	9157	4393	11042	16039	7842	0	0	0	0	0	2014-09-03
GCA_000699945.1	SAMN02319050	43455	Cathartes aura	1152571117	1142028413	36359	112682	0	104141	216823	15248	20795	6849	2792	8777	16189	5880	0	0	0	0	0	2014-08-27
GCA_000700745.1	SAMN02318612	279965	Antrostomus carolinensis	1119683066	1115277614	46345	56667	0	70122	126789	22156	14874	11449	5357	6762	23072	10509	0	0	0	0	0	2014-10-29
GCA_000703405.1	SAMN02318033	57397	Apaloderma vittatum	1070836417	1066296614	56673	50921	0	54728	105649	28882	10934	14787	6637	5440	28819	13589	0	0	0	0	0	2014-10-10
GCA_000705375.2	SAMN02316659	94827	Tinamus guttatus	1047056493	1024813426	246268	59853	0	82514	142367	29773	9877	14024	4734	1147	105290	32748	0	0	0	0	0	2014-10-29
GCA_000708025.2	SAMN02296710	50402	Charadrius vociferus	1219859583	1185946782	3657050	63995	0	15167	79162	39278	8893	20121	9311	98	1672118	643534	0	0	0	0	0	2014-10-09
GCA_000708225.1	SAMN02596464	128390	Nipponia nippon	1223846297	1189430844	5211696	70475	0	59554	130029	29116	12209	15454	7668	66	2346150	658228	0	0	0	0	0	2014-06-27
GCA_000708925.1	SAMN02339889	9209	Phalacrocorax carbo	1138967842	1130205178	48427	98475	0	64312	162787	17343	19360	8950	4146	6715	24520	11458	0	0	0	0	0	2014-09-23
GCA_000709325.1	SAMN02298149	55661	Cuculus canorus	1153894225	1126420809	2989832	56977	0	14930	71907	38137	8811	20280	10082	119	1641854	810175	0	0	0	0	0	2014-10-07
GCA_000709365.1	SAMN02339893	121530	Tauraco erythrolophus	1155540733	1148734661	56334	75085	0	59587	134672	22885	14965	11820	5386	5784	28639	13466	0	0	0	0	0	2014-10-28
GCA_000709895.1	SAMN02318095	100784	Balearica regulorum gibbericeps	1127605500	1123510897	52178	58359	0	53490	111849	23333	14476	12496	6082	6181	26985	12836	0	0	0	0	0	2014-10-27
GCA_000710305.1	SAMN02318191	175836	Buceros rhinoceros silvestris	1065782791	1048779794	53203	118543	0	62257	180800	14587	21343	7552	3430	5769	26696	12582	0	0	0	0	0	2014-10-31
GCA_000737465.1	SAMN02664716	52644	Haliaeetus leucocephalus	1178409481	1159246443	9145499	30763	0	1023	31786	105493	3144	53547	26230	40	5181775	2388667	0	0	0	0	0	2014-08-04
GCA_000738735.2	SAMN02143031	932674	Corvus cornix cornix	1042264234	1011649628	21080102	27256	0	112	27368	97330	2832	46093	20188	14	10836361	5308065	0	0	0	0	0	2018-01-24
GCA_000747805.1	SAMN03018471	8897	Chaetura pelagica	1119188094	1074123860	3841852	65523	0	19072	84595	30757	10349	16126	7679	78	1557512	554877	0	0	0	0	0	2014-10-27
GCA_000766835.1	SAMN03079786	216574	Aquila chrysaetos canadensis	1192725744	1180019022	9230743	15890	0	1141	17031	172329	2004	85945	41910	40	5164991	2407462	0	0	0	0	0	2017-11-30
GCA_000971095.1	SAMN01830643	381198	Anser cygnoides domesticus	1119134887	1083755482	5202740	84351	0	7592	91943	27608	11638	14547	7049	64	2401695	1225925	0	0	0	0	0	2015-04-08
